,Unnamed: 0,Unnamed: 0.1,concept,type,index,hr_index,mc_index,score,single_index,single_score,first_index,first_score
77,77,77,Distance,2,3.3|3.3.2,3.3,3.3,0.2761797991157612,3.3,0.2761797991157612,3.3,0.2761797991157612
97,97,97,Pigment,2,25.4|25.4.3,25.4.3,25.4.3,0.2839378009009477,25.4.3,0.2839378009009477,25.4.3,0.2839378009009477
120,120,120,Electrical conductor,2,9.6|19.2.2|20.2.3|20.4.1,9.6|19.2.2|20.2.3|20.4.1,19.2.2|20.2.3,0.2751424338845262,19.2.2,0.2889248250028433,19.2.2,0.2889248250028433
4,4,4,Gravity,2,4|4.2,4.2,4.2,0.29668340289751993,4.2,0.29668340289751993,4.2,0.29668340289751993
52,52,52,Intensity (physics),2,15.4.1,15.4.1,15.4.1,0.2968781015717413,15.4.1,0.2968781015717413,15.4.1,0.2968781015717413
94,94,94,Displacement (vector),2,3.3|3.3.2|14.4,3.3|14.4,3.3|14.4,0.3197777678753345,3.3,0.2989567183109589,3.3,0.2989567183109589
41,41,41,Sound intensity,1,15.4.1,15.4.1,15.4.1,0.30156975973986044,15.4.1,0.30156975973986044,15.4.1,0.30156975973986044
119,119,119,Free fall,1,4.2.2,4.2.2,4.2.2,0.3023695646043987,4.2.2,0.3023695646043987,4.2.2,0.3023695646043987
137,137,137,Capacitor,1,28.4.1,28.4.1,28.4.1,0.3069581075527299,28.4.1,0.3069581075527299,28.4.1,0.3069581075527299
71,71,71,Huygens–Fresnel principle,1,26.3,26.3,26.3,0.3089628839096904,26.3,0.3089628839096904,26.3,0.3089628839096904
64,64,64,Inelastic collision,1,21.4.2,21.4.2,21.4.2,0.3090985705616242,21.4.2,0.3090985705616242,21.4.2,0.3090985705616242
40,40,40,Electric field,2,17.3|17.3.1|17.5.4,17.3|17.5.4,17.3|17.5.4,0.31582942827748445,17.3|17.5.4,0.31582942827748445,17.3|17.5.4,0.31582942827748445
103,103,103,Scalar (mathematics),2,11.2|11.6.3,11.2|11.6.3,11.2|11.6.3,0.3247156044195587,11.2|11.6.3,0.3247156044195587,11.2|11.6.3,0.3247156044195587
125,125,125,Crest (physics),2,6.2.1,6.2.1,6.2.1,0.3259502591982288,6.2.1,0.3259502591982288,6.2.1,0.3259502591982288
42,42,42,Dielectric,1,17.5.2,17.5.2,17.5.2,0.3317555544028268,17.5.2,0.3317555544028268,17.5.2,0.3317555544028268
35,35,35,Torque,1,12.6.1,12.6.1,12.6.1,0.3349015814336451,12.6.1,0.3349015814336451,12.6.1,0.3349015814336451
121,121,121,Transmission medium,3,5.2,5.2,5.2,0.3369089359851687,5.2,0.3369089359851687,5.2,0.3369089359851687
26,26,26,Amplitude,2,5.3.1|6.2.2|14.3.2,5.3.1|6.2.2|14.3.2,5.3.1|6.2.2|14.3.2,0.3494124401131116,6.2.2,0.33946204634157656,5.3.1,0.25213544423831696
139,139,139,Motion,2,3|3.6|3.6.2|3.6.3|3.9|3.9.1|5.4.1|5.4.2|6.3|12.3.2|12.3.4|18.5|21|21.2|21.2.1|21.2.2|21.2.3,3|5.4.1|5.4.2|6.3|12.3.2|12.3.4|18.5|21,3|5.4.1|5.4.2|6.3|12.3.2|12.3.4|18.5|21,0.2270115383247856,3,0.34230035430526506,3,0.34230035430526506
31,31,31,Diffraction,1,26.5,26.5,26.5,0.34456652376485675,26.5,0.34456652376485675,26.5,0.34456652376485675
127,127,127,Acceleration,1,3.5,3.5,3.5,0.3448499667123737,3.5,0.3448499667123737,3.5,0.3448499667123737
122,122,122,Field (physics),2,4.2.1|8.2|8.3.3|8.4|8.4.1|17.3|17.3.1|17.5.4|18.2|18.3|18.5|21.2.1,4.2.1|8.2|8.3.3|8.4|17.3.1|17.5.4|18.2|18.3|18.5|21.2.1,4.2.1|8.3.3|17.3.1|17.5.4|18.5,0.17526323639671848,17.3.1|17.5.4,0.3468319954149164,8.3.3,0.3138356265691513
20,20,20,Frequency,2,6.2.4|14.3.3,6.2.4|14.3.3,14.3.3,0.359303473201787,14.3.3,0.359303473201787,14.3.3,0.359303473201787
66,66,66,Electromotive force,1,10.2.5,10.2.5,10.2.5,0.3640025003379252,10.2.5,0.3640025003379252,10.2.5,0.3640025003379252
59,59,59,Geometrical optics,1,7|13,7|13,7|13,0.36651742892345374,7,0.364394734984031,13,0.3166522926841577
13,13,13,Plasticity (physics),2,22.3|22.3.1,22.3.1,22.3.1,0.3658689378074551,22.3.1,0.3658689378074551,22.3.1,0.3658689378074551
51,51,51,Newton's law of universal gravitation,1,12.4.1,12.4.1,12.4.1,0.3659900046585794,12.4.1,0.3659900046585794,12.4.1,0.3659900046585794
144,144,144,Physics,1,1,1,1,0.3665391021307541,1,0.3665391021307541,1,0.3665391021307541
53,53,53,Wave,2,6|6.2|6.2.5|6.4|6.4.1|6.4.2|6.4.3|6.4.5|14|14.2|14.3|14.3.4|14.5|14.6|15.2|16.2|16.3|26.6|27|30.3,6.4.3|14|15.2|16.2|16.3|26.6|27|30.3,6.4.3|14|30.3,0.1920996937939572,14,0.3711301322756964,30.3,0.2403757985636049
142,142,142,Kinetic energy,1,4.4,4.4,4.4,0.3745748045851949,4.4,0.3745748045851949,4.4,0.3745748045851949
63,63,63,Creep (deformation),2,22.3|22.3.2,22.3.2,22.3.2,0.3749242823589949,22.3.2,0.3749242823589949,22.3.2,0.3749242823589949
28,28,28,Speed,2,3.4|3.4.1|5.3.2|6.2.5|14.3.4|15.3,3.4|5.3.2|6.2.5|14.3.4|15.3,3.4|5.3.2|6.2.5|14.3.4,0.32681241425087193,3.4,0.3774873773819036,3.4,0.3774873773819036
98,98,98,Tension (physics),3,1|12.2|12.2.1,1|12.2,12.2,0.3800293612187355,12.2,0.3800293612187355,12.2,0.3800293612187355
105,105,105,Electrostatics,1,9|17,9|17,17,0.3801757759854614,17,0.3801757759854614,17,0.3801757759854614
57,57,57,Optical microscope,1,13.6,13.6,13.6,0.38156821515311945,13.6,0.38156821515311945,13.6,0.38156821515311945
1,1,1,Absorption spectroscopy,1,31.4.2,31.4.2,31.4.2,0.3864066007043191,31.4.2,0.3864066007043191,31.4.2,0.3864066007043191
72,72,72,Color,1,25,25,25,0.3936024213124496,25,0.3936024213124496,25,0.3936024213124496
140,140,140,Voltmeter,1,10.5.1,10.5.1,10.5.1,0.4002894038098661,10.5.1,0.4002894038098661,10.5.1,0.4002894038098661
0,0,0,Sonic boom,2,26.6,26.6,26.6,0.4014444755463929,26.6,0.4014444755463929,26.6,0.4014444755463929
147,147,147,Ammeter,1,10.5.2,10.5.2,10.5.2,0.4068635498093735,10.5.2,0.4068635498093735,10.5.2,0.4068635498093735
7,7,7,Electric potential energy,2,17.4,17.4,17.4,0.4096634622576561,17.4,0.4096634622576561,17.4,0.4096634622576561
75,75,75,Lever,2,12.6|12.6.2|12.6.3,12.6,12.6,0.4119322346895042,12.6,0.4119322346895042,12.6,0.4119322346895042
60,60,60,Snell's law,1,7.4.2,7.4.2,7.4.2,0.4177131937059965,7.4.2,0.4177131937059965,7.4.2,0.4177131937059965
16,16,16,Light,2,7.2|24.3|25.2|25.2.1|25.3|29.4.2|31.2|31.2.2,7.2|24.3|25.2|25.3|29.4.2|31.2,7.2|24.3|25.2|29.4.2|31.2,0.3859894051320757,25.2,0.4180450435741981,7.2,0.3558403410545794
134,134,134,Ohm's law,1,10.2.4|19.2,10.2.4|19.2,10.2.4|19.2,0.4188053612059193,19.2,0.41900586488889424,10.2.4,0.2869256869125361
126,126,126,Electrical resistance and conductance,1,10.4|19.3,10.4|19.3,10.4|19.3,0.4473296948468511,19.3,0.4201969337039448,10.4,0.4087851931413578
146,146,146,Electric current,1,10.3|10.3.2,10.3,10.3,0.4222678057048652,10.3,0.4222678057048652,10.3,0.4222678057048652
90,90,90,Specular reflection,1,7.3.2,7.3.2,7.3.2,0.42641285980482,7.3.2,0.42641285980482,7.3.2,0.42641285980482
74,74,74,Voltage,1,10.2|10.2.1,10.2,10.2,0.4333391773788704,10.2,0.4333391773788704,10.2,0.4333391773788704
118,118,118,Euclidean vector,1,11,11,11,0.4384160956894816,11,0.4384160956894816,11,0.4384160956894816
83,83,83,Gravitational field,1,4.2.1,4.2.1,4.2.1,0.4460215084076111,4.2.1,0.4460215084076111,4.2.1,0.4460215084076111
110,110,110,Ray (optics),2,7.2|7.2.2|7.5.3|30.6.3|30.6.4,7.2.2|7.5.3|30.6.3|30.6.4,7.2.2|7.5.3|30.6.3,0.3923686997833624,7.2.2|7.5.3,0.4503698646794566,30.6.3,0.2266449010664836
131,131,131,Ohmmeter,1,10.5.3,10.5.3,10.5.3,0.4506353173842517,10.5.3,0.4506353173842517,10.5.3,0.4506353173842517
148,148,148,Magnification,1,7.5.8,7.5.8,7.5.8,0.4507019797697617,7.5.8,0.4507019797697617,7.5.8,0.4507019797697617
