,concept,type,book1_title,book1_content,book2_title,book2_content,book3_title,book3_content
2,Coulomb,0,,9.3,,12.2.2,,
6,Angle of incidence,0,,7.3.2,,,,
1,Absorption spectroscopy,1,,,,,31.4.2,31.4.2
5,Refraction,1,7.4,7.4,,13.5.1,,25.2.1
9,Emission spectrum,1,,,,,31.4.1,31.4.1
0,Sonic boom,2,,,,,26.6,26.6.2
3,Magnet,2,8.3,8.1,,12.2.1,,27.3
4,Gravity,2,4.2,4.1,,12.2.2,,21.2.2
7,Electric potential energy,2,,4.3,17.4,17.4.1,,
8,Wavelength,2,6.2.2,6.2.2,14.3.2,14.3.2,27.2,24.2
